id	type	name	description
PP7435_Chr1-0022	ORF	IPP1	Cytoplasmic inorganic pyrophosphatase (PPase), homodimer that catalyzes the rapid exchange of oxygens from Pi with water, enriched in cytosol, highly expressed and essential in S. cerevisiae for viability, active-site residues show identity to those from E. coli Ppase
PP7435_Chr1-0023	ORF	TRP1	Phosphoribosylanthranilate isomerase that catalyzes the third step in tryptophan biosynthesis, in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA)
PP7435_Chr1-0024	ORF	RFC4	Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon, known in S. cerevisiae as nuclear protein that relocalizes to the cytosol in response to hypoxia
PP7435_Chr1-0025	ORF	VPS52	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi, involved in localization of actin and chitin
PP7435_Chr1-0026	ORF	TAX4	EH domain-containing protein, involved in regulating phosphatidylinositol 4,5-bisphosphate levels and autophagy, Irs4p and Tax4p bind and activate the PtdIns phosphatase Inp51p, Irs4p and Tax4p are involved in localizing Atg17p to the PAS, Pichia pastoris does not have the paralog IRS4
PP7435_Chr1-0027	ORF	HMT1	SAM-dependent mono- and asymmetric arginine dimethylating methyltransferase, enriched in cytosol in glucose-grown cells, known in S. cerevisiae as nuclear protein that modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export, methylates U1 snRNP protein Snp1p and ribosomal protein Rps2p, interacts genetically with genes encoding components of Rpd3(L) and this interaction is important for Rpd3 recruitment to the subtelomeric region
PP7435_Chr1-0028	ORF	RPL4A	Ribosomal 60S subunit protein L4A, N-terminally acetylated, homologous to mammalian ribosomal protein L4 and bacterial L4, enriched in plasma membrane and cytosol in glucose-grown cells, Pichia pastoris does not have the paralog RPL4B
PP7435_Chr1-0029	ORF	GLC3	Glycogen branching enzyme, involved in glycogen accumulation, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern and relocalizes from nucleus to cytoplasmic foci upon DNA replication stress
PP7435_Chr1-0030	ORF	GSM1	Putative zinc cluster protein of unknown function, proposed to be involved in the regulation of energy metabolism, based on patterns of expression in S. cerevisiae and sequence analysis
PP7435_Chr1-0031	ORF	SET3	Defining member of the SET3 histone deacetylase complex which is a meiosis-specific repressor of sporulation genes, necessary for efficient transcription by RNAPII, one of two yeast proteins that contains both SET and PHD domains, Pichia pastoris does not have the paralog SET4
PP7435_Chr1-0032	ORF	PAM16	Subunit of the import motor (PAM complex), the PAM complex is a component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex), forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity, contains a J-like domain, enriched in mitochondria
PP7435_Chr1-0033	ORF	PP7435_Chr1-0033	Hypothetical protein conserved (domain: Zinc finger and cleavage and polyadenylation specificity factor, YTH1)
PP7435_Chr1-0034	ORF	PP7435_Chr1-0034	Protein with similarity to YKR023W (Putative protein of unknown function, in S. cerevisiae the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies)
PP7435_Chr1-0035	ORF	IME2	Serine/threonine protein kinase involved in activation of meiosis, associates with Ime1p and mediates its stability, activates Ndt80p, IME2 expression in S. cerevisiae is positively regulated by Ime1p
PP7435_Chr1-0036	tRNA	PP7435_Chr1-0036	Putative transfer RNA for Aspartic acid (tRNA-Asp)
PP7435_Chr1-0037	ORF	PRM10-2	Pheromone-regulated protein, proposed to be involved in mating, predicted to have 5 transmembrane segments, induced in S. cerevisiae by treatment with 8-methoxypsoralen and UVA irradiation
PP7435_Chr1-0038	ORF	PRM10-1	Pheromone-regulated protein, proposed to be involved in mating, predicted to have 5 transmembrane segments, induced in S. cerevisiae by treatment with 8-methoxypsoralen and UVA irradiation
PP7435_Chr1-0039	ORF	SCP160	RNA-binding G protein effector of mating response pathway, enriched in cytosol, essential in S. cerevisiae where it is mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins
PP7435_Chr1-0040	ORF	PP7435_Chr1-0040	Protein with similarity to YFR016C (Putative protein of unknown function, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud, interacts with Spa2p and YFL016C is not an essential gene)
PP7435_Chr1-0041	ORF	PP7435_Chr1-0041	Protein with low similarity to DnaJ subfamily C proteins
PP7435_Chr1-0042	ORF	CDC34	Ubiquitin-conjugating enzyme (E2), catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-0043	ORF	PP7435_Chr1-0043	Hypothetical protein not conserved
PP7435_Chr1-0044	ORF	DBF4	Regulatory subunit of Cdc7p-Dbf4p kinase complex, required for Cdc7p kinase activity and initiation of DNA replication, phosphorylates the Mcm2-7 family of proteins, cell cycle regulated, relative distribution to the nucleus increases upon DNA replication stress
PP7435_Chr1-0045	ORF	PP7435_Chr1-0045	Protein with low similarity to C6 transcription factors
PP7435_Chr1-0046	ORF	BIO2	Biotin synthase, catalyzes the conversion of dethiobiotin to biotin, which is the last step of the biotin biosynthesis pathway, the S. cerevisiae protein complements E. coli bioB mutant
PP7435_Chr1-0047	tRNA	PP7435_Chr1-0047	Putative transfer RNA for Tyrosine (tRNA-Tyr)
PP7435_Chr1-0048	ORF	PNG1	Conserved peptide N-glycanase required for deglycosylation of misfolded glycoproteins during proteasome-dependent degradation, known in S. cerevisiae as cytoplasmic and nuclear protein, activity is enhanced by interaction with Rad23p
PP7435_Chr1-0049	ORF	PP7435_Chr1-0049	Hypothetical protein conserved (domain: PRK12704 phosphodiesterase, provisional)
PP7435_Chr1-0050	ORF	PP7435_Chr1-0050	Hypothetical protein conserved (domain: ubiquitin domain of MoaD-like protein involved in biosynthesis of molybdenum cofactor)
PP7435_Chr1-0051	ORF	TPS2	Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex, involved in synthesis of the storage carbohydrate trehalose, enriched in cytosol, in S. cerevisiae expression is induced by stress conditions, repressed by the Ras-cAMP pathway and protein abundance increases in response to DNA replication stress
PP7435_Chr1-0052	ORF	APN2	Class II abasic (AP) endonuclease involved in repair of DNA damage, homolog of human HAP1 and E. coli exoIII
PP7435_Chr1-0053	ORF	CGR1	Protein involved in nucleolar integrity and processing of pre-rRNA, has a role in processing rRNA for the 60S ribosome subunit, transcript is induced in response to cytotoxic stress but not genotoxic stress, known in S. cerevisiae as protein that relocalizes from nucleus to nucleolus upon DNA replication stress
PP7435_Chr1-0054	ORF	SEC13	Structural component of 3 distinct complexes, subunit of Nup84 nuclear pore sub-complex (NPC), COPII vesicle coat, and Seh1-associated (SEA) complex, COPII vesicle coat is required for ER to Golgi transport, the Nup84 subcomplex contributes to nucleocytoplasmic transport, NPC biogenesis and processes that may require localization of chromosomes at the nuclear periphery, including transcription, homologous to human SEC13, abundance increases under DNA replication stress, enriched in plasma membrane in glucose-grown cells and in cytosol in methanol-grown cells
PP7435_Chr1-0055	ORF	PP7435_Chr1-0055	Hypothetical protein conserved (domain: DUF3074)
PP7435_Chr1-0056	ORF	FUR4	Uracil permease, known in S. cerevisiae as plasma membrane protein, whose expression is tightly regulated by uracil levels and environmental cues, conformational alterations induced by unfolding or substrate binding result in Rsp5p-mediated ubiquitination and degradation
PP7435_Chr1-0057	ORF	PP7435_Chr1-0057	Protein with similarity to YIL067C (Uncharacterized protein of unknown function)
PP7435_Chr1-0058	ORF	PTP3	Phosphotyrosine-specific protein phosphatase involved in the inactivation of mitogen-activated protein kinase (MAPK) during osmolarity sensing, dephosporylates Hog1p MAPK and regulates its localization, known in S. cerevisiae as cytoplasmic protein
PP7435_Chr1-0059	ORF	LHS1	Molecular chaperone of the ER lumen, involved in polypeptide translocation and folding, nucleotide exchange factor for the ER lumenal Hsp70 chaperone Kar2p, regulated by the unfolded protein response pathway, enriched in microsome, and additionally enriched in mitochondria in glucose-grown cells and in Golgi in methanol-grown cells
PP7435_Chr1-0060	ORF	PP7435_Chr1-0060	Protein with low similarity to splicing factor U2AF, enriched in cytosol in methanol-grown cells
PP7435_Chr1-0061	ORF	BUB2	Mitotic exit network regulator, forms GTPase-activating Bfa1p-Bub2p complex that binds Tem1p and spindle pole bodies, blocks in S. cerevisiae cell cycle progression before anaphase in response to spindle and kinetochore damage
PP7435_Chr1-0062	ORF	STV1	Subunit a of the vacuolar-ATPase V0 domain, one of two isoforms (Stv1p and Vph1p), enriched in Golgi, those complexes are known in S. cerevisiae to be also present at the endosomes, while Vph1p is located in V-ATPase complexes of the vacuole
PP7435_Chr1-0063	ORF	RGP1	Subunit of a membrane exchange factor (Ric1p-Rgp1p) that catalyzes nucleotide exchange on Ypt6p, known in S. cerevisiae as Golgi protein
PP7435_Chr1-0064	ORF	RPP0	Conserved ribosomal protein P0 of the ribosomal stalk, involved in interaction between translational elongation factors and the ribosome, phosphorylated on serine 302, homologous to mammalian ribosomal protein LP0 and bacterial L10, enriched in cytosol in glucose-grown cells
PP7435_Chr1-0065	ORF	RSN1	Membrane protein of unknown function, enriched in microsome, in S. cerevisiae localizes to the plasma membrane, overexpression in S. cerevisiae suppresses NaCl sensitivity of sro7 mutant cells by restoring sodium pump (Ena1p), 
PP7435_Chr1-0066	ORF	PPA2	Inorganic pyrophosphatase, known in S. cerevisiae as mitochondrial protein required for mitochondrial function and possibly involved in energy generation from inorganic pyrophosphate
PP7435_Chr1-0067	ORF	NUP188	Subunit of the inner ring of the nuclear pore complex (NPC), contributes to NPC organization and nucleocytoplasmic transport, homologous to human NUP188
PP7435_Chr1-0068	ORF	PRP24	Splicing factor that reanneals U4 and U6 snRNPs during spliceosome recycling
PP7435_Chr1-0069	ORF	TMA23	Protein implicated in ribosome biogenesis, known in S. cerevisiae as nucleolar whose deletion extends chronological lifespan
PP7435_Chr1-0070	tRNA	PP7435_Chr1-0070	Putative transfer RNA for Lysine (tRNA-Lys)
PP7435_Chr1-0071	ORF	DBP5	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family, involved in mRNA export from the nucleus, involved in translation termination, ATP/ADP cycling is regulated by Gle1p and Nup159p, enriched in cytosol, and additionally enriched in plasma membrane in glucose-grown cells
PP7435_Chr1-0072	ORF	TMC1	AN1-type zinc finger protein, effector of proteotoxic stress response; stress-inducible transcriptional target of Rpn4p; in S. cerevisiae induced by nitrogen limitation, weak acid, misfolded proteins; short-lived protein, degraded by proteasome; may protect cells from trivalent metalloid induced proteotoxicity; contains PACE promoter element; ortholog of human AIRAP, which stimulates proteasome activity in response to arsenic; protein abundance in S. cerevisiae increases under DNA replication stress
PP7435_Chr1-0073	ORF	PP7435_Chr1-0073	Protein with similarity to YKR070W, enriched in mitochondria (Putative protein of unknown function, in S. cerevisiae the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies)
PP7435_Chr1-0074	tRNA	PP7435_Chr1-0074	Putative transfer RNA for Alanine (tRNA-Ala)
PP7435_Chr1-0075	ORF	MET1	S-adenosyl-L-methionine uroporphyrinogen III transmethylase, involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase, required for sulfate assimilation and methionine biosynthesis
PP7435_Chr1-0076	ORF	ETT1	Protein that inhibits replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts, enriched in Golgi in glucose-grown cells and in cytosol in methanol-grown cells, known in S. cerevisiae as nuclear protein which deletion increases stop codon readthrough
PP7435_Chr1-0077	ORF	BET3	Core component of transport protein particle (TRAPP) complexes I-III, TRAPP complexes are related multimeric guanine nucleotide-exchange factors for the GTPase Ypt1, regulating ER-Golgi traffic (TRAPPI), intra-Golgi traffic (TRAPPII), endosome-Golgi traffic (TRAPPII and III) and autophagy (TRAPPIII), hydrophilic homodimeric protein that acts in conjunction with SNARE proteins in targeting and fusion of ER to Golgi transport vesicles, enriched in Golgi
PP7435_Chr1-0078	ORF	GPT2	Glycerol-3-phosphate/dihydroxyacetone phosphate dual substrate-specific sn-1 acyltransferase located the ER, enriched in microsome and mitochondria, and additionally enriched in Golgi in methanol-grown cells, known in S. cerevisiae as protein localized also at lipid particles, involved in the stepwise acylation of glycerol-3-phosphate and dihydroxyacetone in lipid biosynthesis, the most conserved motifs and functionally relevant residues are oriented towards the ER lumen
PP7435_Chr1-0079	ORF	YIF1	Integral membrane protein required for the fusion of ER-derived COPII transport vesicles with the Golgi, interacts with Yip1p and Yos1p, known in S. cerevisiae as protein of Golgi, ER, and COPII vesicles, homolog of human YIPF3
PP7435_Chr1-0080	ORF	PP7435_Chr1-0080	Hypothetical protein not conserved
PP7435_Chr1-0081	ORF	POL2	Catalytic subunit of DNA polymerase (II) epsilon, a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity, also involved in DNA synthesis during DNA repair, interacts extensively with Mrc1p
PP7435_Chr1-0082	ORF	ORC5	Subunit of the origin recognition complex, which directs DNA replication by binding to replication origins and is also involved in transcriptional silencing
PP7435_Chr1-0083	ORF	LTO1	Essential protein that forms a complex with Rli1p and Yae1p, ortholog of human ORAOV1, which is overexpressed in solid tumors, inviability of S. cerevisiae null mutant under standard conditions is complemented by overexpression of ORAOV1, essential for growth under standard (aerobic) conditions but not under anaerobic conditions, may have a role in protection of ribosomal assembly and function from damage due to reactive oxygen species
PP7435_Chr1-0084	ORF	LIN1	Non-essential component in S. cerevisiae of U5 snRNP, nuclear protein, physically interacts with Irr1p of cohesin complex, may link together proteins involved in chromosome segregation, mRNA splicing and DNA replication
PP7435_Chr1-0085	ORF	PP7435_Chr1-0085	Protein with low similarity to Scheffersomyces stipitis mitotic spindle checkpoint protein BUB3
PP7435_Chr1-0086	ORF	ATX1	Copper metallochaperone that transports copper to the secretory vesicle copper transporter Ccc2p for eventual insertion into Fet3p, which is a multicopper oxidase required for high-affinity iron upTake, known in S. cerevisiae as cytosolic protein
PP7435_Chr1-0087	ORF	DSL1	Peripheral membrane protein needed for Golgi-to-ER retrograde traffic, forms a complex with Sec39p and Tip20p that interacts with ER SNAREs Sec20p and Use1p, component of the ER target site that interacts with coatomer, interacts with Cin5p, similar to the fly and human ZW10 gene, enriched in microsome
PP7435_Chr1-0088	ORF	PP7435_Chr1-0088	Protein with low similarity to DnaJ-domain-containing proteins
PP7435_Chr1-0089	ORF	ARD1	Subunit of protein N-terminal acetyltransferase NatA, NatA is comprised of Nat1p, Ard1p, and Nat5p, acetylates many proteins and thus affects telomeric silencing, cell cycle, heat-shock resistance, mating, and sporulation, human Ard1p levels are elevated in cancer cells, enriched in cytosol in glucose-grown cells, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-0091	ORF	PP7435_Chr1-0091	Protein with low similarity to AHC1, subunit of the Ada histone acetyltransferase complex which is required for structural integrity of the complex
PP7435_Chr1-0092	ORF	SFM1	SPOUT methyltransferase, catalyzes omega-monomethylation of Rps3p on Arg-146, in S. cerevisiae YOR021C is not an essential gene, predicted to be involved in rRNA processing and ribosome biogenesis and in biopolymer catabolism
PP7435_Chr1-0093	ORF	DDL1	DDHD domain-containing phospholipase A1, known in S. cerevisiae as mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA, implicated in remodeling of mitochondrial phospholipids, antagonistically regulated by Aft1p and Aft2p, in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism
PP7435_Chr1-0094	ORF	RCF1	Cytochrome c oxidase subunit, required for assembly of the Complex III-Complex IV supercomplex, and for assembly of Cox13p and Rcf2p into cytochrome c oxidase, similar to Rcf2p, and either Rcf1p or Rcf2p is required for late-stage assembly of the Cox12p and Cox13p subunits and for cytochrome c oxidase activity, required for growth under hypoxic conditions, member of the hypoxia induced gene family, C. elegans and human orthologs are functional in yeast
PP7435_Chr1-0095	ORF	KGD2	Dihydrolipoyl transsuccinylase, component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle, phosphorylated, enriched in mitochondria
PP7435_Chr1-0096	ORF	PP7435_Chr1-0096	Hypothetical protein not conserved (domain: HVSL, uncharacterized conserved protein)
PP7435_Chr1-0097	ORF	IGO2	Protein required for initiation of G0 program, prevents degradation of nutrient-regulated mRNAs via the 5'-3' mRNA decay pathway, phosphorylated by Rim15p, in S. cerevisiae the green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus, Pichia pastoris does not have the paralog IGO1
PP7435_Chr1-0098	ORF	NSG2	Protein involved in regulation of sterol biosynthesis, specifically stabilizes Hmg2p, one of two HMG-CoA isoenzymes that catalyze the rate-limiting step in sterol biosynthesis, homolog of mammalian INSIG proteins, enriched in mitochondria in glucose-grown cells, Pichia pastoris does not have the paralog NSG1
PP7435_Chr1-0099	ORF	SWI4	DNA binding component of the SBF complex (Swi4p-Swi6p), a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair, Slt2p-independent regulator of cold growth, acetylation at two sites, K1016 and K1066, regulates interaction with Swi6p
PP7435_Chr1-0100	ORF	PP7435_Chr1-0100	Hypothetical protein not conserved
PP7435_Chr1-0101	ORF	SWI5	Transcription factor that recruits Mediator and Swi/Snf complexes, activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase, required for expression of the HO gene controlling mating type switching, localization in S. cerevisiae to nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase, Pichia pastoris does not have the paralog ACE2
PP7435_Chr1-0102	ORF	STT4	Phosphatidylinositol-4-kinase that functions in the Pkc1p protein kinase pathway, required for normal vacuole morphology, cell wall integrity, and actin cytoskeleton organization, enriched among several compartments
PP7435_Chr1-0103	ORF	TIF6	Constituent of 66S pre-ribosomal particles, has similarity to human translation initiation factor 6 (eIF6), may be involved in the biogenesis and or stability of 60S ribosomal subunits
PP7435_Chr1-0104	ORF	HSP104	Disaggregase, heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins, responsive to stresses including: heat, ethanol, and sodium arsenite, involved in [PSI+] propagation, enriched in cytosol in methanol-grown cells, in S. cerevisiae protein becomes more abundant and forms cytoplasmic foci in S. cerevisiae in response to DNA replication stress
PP7435_Chr1-0105	ORF	ACO1	Aconitase, required for the tricarboxylic acid (TCA) cycle and also independently required for mitochondrial genome maintenance, phosphorylated, component of the mitochondrial nucleoid, enriched in mitochondria in methanol-grown cells, mutation in S. cerevisiae leads to glutamate auxotrophy
PP7435_Chr1-0106	ORF	RIM4	Putative RNA-binding protein required for the expression of early and middle sporulation genes
PP7435_Chr1-0107	ORF	RRI1	Catalytic subunit of the COP9 signalosome (CSN) complex that acts as an isopeptidase in cleaving the ubiquitin-like protein Nedd8 from SCF ubiquitin ligases, metalloendopeptidase involved in the adaptation to pheromone signaling
PP7435_Chr1-0108	ORF	NPR1	Protein kinase, stabilizes several plasma membrane amino acid transporters by antagonizing their ubiquitin-mediated degradation, phosphorylates Aly2p, negatively regulates Ldb19p-mediated endocytosis through phosphorylation of Ldb19p, which prevents its association with the plasma membrane, Npr1p activity is negatively regulated via phosphorylation by the TOR complex, Pichia pastoris does not have the paralog PRR2
PP7435_Chr1-0109	ORF	MRPL19	Ribosomal protein of the large subunit, enriched in plasma membrane in glucose-grown cells, known in S. cerevisiae as mitochondrial protein
PP7435_Chr1-0110	ORF	UBP10	Ubiquitin-specific protease, deubiquitinates Ub-protein moieties, interacts with proteins that function in rRNA production and ribosome biogenesis, stabilizes Rpa190p, the largest subunit of RNAP I, by mediating its deubiquitination, may regulate silencing by acting on Sir4p, involved in posttranscriptionally regulating Gap1p and possibly other transporters, known in S. cerevisiae as protein of the nucleolus, human USP36 is a functional analog of Ubp10p
PP7435_Chr1-0111	ORF	PBR1	Putative oxidoreductase, required for cell viability in S. cerevisiae, enriched in microsome, and additionally enriched in mitochondria in glucose-grown cells
PP7435_Chr1-0112	ORF	IPI3	Component of the Rix1 complex (Rix1p-Ipi1p-Ipi3p) and pre-replicative complexes (pre-RCs), required for processing of ITS2 sequences from 35S pre-rRNA, component of the pre-60S ribosomal particle with the dynein-related AAA-type ATPase Mdn1p, required for pre-RC formation and maintenance during DNA replication licensing, highly conserved protein which contains several WD40 motifs, enriched in Golgi in glucose-grown cells, in S. cerevisiae IPI3 is an essential gene
PP7435_Chr1-0113	ORF	PP7435_Chr1-0113	Hypothetical protein conserved (domain: DUF1777)
PP7435_Chr1-0114	ORF	NOP6	rRNA-binding protein required for 40S ribosomal subunit biogenesis, contains an RNA recognition motif (RRM), hydrophilin essential to overcome the stress of the desiccation-rehydration process, NOP6 may be a fungal-specific gene as no homologs have been yet identified in higher eukaryotes
PP7435_Chr1-0115	ORF	RHO5	Non-essential small GTPase of the Rho/Rac family of Ras-like proteins, RAC1 ortholog, regulated by phosphorylation and ubiquitination, likely involved in protein kinase C (Pkc1p)-dependent signal transduction pathway that controls cell integrity
PP7435_Chr1-0116	ORF	PP7435_Chr1-0116	Hypothetical protein not conserved
PP7435_Chr1-0117	ORF	KRE5-2	Protein required for beta-1,6 glucan biosynthesis, mutations in S. cerevisiae result in aberrant morphology and severe growth defects
PP7435_Chr1-0118	ORF	RPS3	Protein component of the small (40S) ribosomal subunit, has apurinic/apyrimidinic (AP) endonuclease activity, enriched among several compartments, essential in S. cerevisiae for viability, homologous to mammalian ribosomal protein S3 and bacterial S3
PP7435_Chr1-0119	ORF	SHR3	Packaging chaperone, required for incorporation of amino acid permeases into COPII coated vesicles for transport to the cell surface, enriched in Golgi in methanol-grown cells, known in S. cerevisiae as ER protein
PP7435_Chr1-0120	ORF	NI9M	NI9M (B9) subunit of mitochondrial NADH:ubiquinone oxidoreductase (complex I) of Pichia pastoris, enriched in mitochondria, and additionally enriched in plasma membrane in methanol-grown cells
PP7435_Chr1-0121	ORF	MRPL22	Mitochondrial ribosomal protein of the large subunit, enriched in mitochondria
PP7435_Chr1-0122	ORF	MOH1-2	Protein of unknown function, in S. cerevisiae essential for stationary phase survival, not required for growth on nonfermentable carbon sources, possibly linked with vacuolar transport
PP7435_Chr1-0123	ORF	PP7435_Chr1-0123	Hypothetical protein not conserved
PP7435_Chr1-0124	ORF	NOP13	Protein found in preribosomal complexes, contains an RNA recognition motif (RRM), enriched in cytosol, known in S. cerevisiae as nucleolar protein, relative distribution to the nucleolus increases upon DNA replication stress
PP7435_Chr1-0125	ORF	UGP1	UDP-glucose pyrophosphorylase (UGPase), catalyses the reversible formation of UDP-Glc from glucose 1-phosphate and UTP, involved in a wide variety of metabolic pathways, enriched in cytosol, expression in S. cerevisiae modulated by Pho85p through Pho4p, Pichia pastoris does not have the paralog YHL012W
PP7435_Chr1-0126	ORF	RRP36	Component of 90S preribosomes, involved in early cleavages of the 35S pre-rRNA and in production of the 40S ribosomal subunit
PP7435_Chr1-0127	ORF	MRPL44	Mitochondrial ribosomal protein of the large subunit, enriched in mitochondria in methanol-grown cells, protein abundance in S. cerevisiae increases in response to DNA replication stress
PP7435_Chr1-0128	ORF	MPD1	Member of the protein disulfide isomerase (PDI) family, interacts with and inhibits the chaperone activity of Cne1p, MPD1 overexpression in a pdi1 S. cerevisiae null mutant suppresses defects in Pdi1p functions such as carboxypeptidase Y maturation, enriched among several compartments
PP7435_Chr1-0129	ORF	GLN3	Transcriptional activator of genes regulated by nitrogen catabolite repression (NCR), localization and activity in S. cerevisiae regulated by quality of nitrogen source
PP7435_Chr1-0130	ORF	PP7435_Chr1-0130	Protein with low similarity to CDC33 (putative CDC33-2), mRNA cap binding protein and translation initiation factor eIF4E, enriched in plasma membrane in glucose-grown cells
PP7435_Chr1-0131	ORF	DUG1	Cys-Gly metallo-di-peptidase, forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p), enriched in cytosol
