PP7435_Chr1-0001	PAS_chr1-3_0003
PP7435_Chr1-0066	PAS_chr1-3_0070
PP7435_Chr1-0067	PAS_chr1-3_0071
PP7435_Chr1-0068	PAS_chr1-3_0072
PP7435_Chr1-0069	PAS_chr1-3_0073
PP7435_Chr1-0070	
PP7435_Chr1-0071	PAS_chr1-3_0074
PP7435_Chr1-0072	PAS_chr1-3_0077
PP7435_Chr1-0073	PAS_chr1-3_0294
PP7435_Chr1-0074	
PP7435_Chr1-0075	PAS_chr1-3_0078
PP7435_Chr1-0076	PAS_chr1-3_0079
PP7435_Chr1-0077	PAS_chr1-3_0080
PP7435_Chr1-0078	PAS_chr1-3_0081
PP7435_Chr1-0079	PAS_chr1-3_0082
PP7435_Chr1-0080	PAS_chr1-3_0083
PP7435_Chr1-0081	PAS_chr1-3_0083
PP7435_Chr1-0082	PAS_chr1-3_0084
PP7435_Chr1-0083	PAS_chr1-3_0295
PP7435_Chr1-0084	PAS_chr1-3_0085
PP7435_Chr1-0085	PAS_chr1-3_0086
PP7435_Chr1-0086	PAS_chr1-3_0087
PP7435_Chr1-0087	PAS_chr1-3_0088
PP7435_Chr1-0088	PAS_chr1-3_0089
PP7435_Chr1-0089	PAS_chr1-3_0090
PP7435_Chr1-0091	PAS_chr1-3_0296
PP7435_Chr1-0092	PAS_chr1-3_0092
PP7435_Chr1-0093	PAS_chr1-3_0093
PP7435_Chr1-0094	PAS_chr1-3_0297
PP7435_Chr1-0095	PAS_chr1-3_0094
PP7435_Chr1-0096	PAS_chr1-3_0095
PP7435_Chr1-0097	PAS_chr1-3_0096
PP7435_Chr1-0098	PAS_chr1-3_0097
PP7435_Chr1-0099	PAS_chr1-3_0098
PP7435_Chr1-0100	PAS_chr1-3_0298
PP7435_Chr1-0101	PAS_chr1-3_0099
PP7435_Chr1-0102	PAS_chr1-3_0100
PP7435_Chr1-0103	PAS_chr1-3_0101
PP7435_Chr1-0104	PAS_chr1-3_0102
PP7435_Chr1-0105	PAS_chr1-3_0104
PP7435_Chr1-0106	PAS_chr1-3_0299
PP7435_Chr1-0107	PAS_chr1-3_0105
PP7435_Chr1-0108	PAS_chr1-3_0106
PP7435_Chr1-0109	PAS_chr1-3_0107
PP7435_Chr1-0110	PAS_chr1-3_0108
PP7435_Chr1-0111	PAS_chr1-3_0109
PP7435_Chr1-0112	PAS_chr1-3_0110
PP7435_Chr1-0113	PAS_chr1-3_0111
PP7435_Chr1-0114	PAS_chr1-3_0112
PP7435_Chr1-0115	PAS_chr1-3_0113
PP7435_Chr1-0116	no GS115 homolog
PP7435_Chr1-0117	PAS_chr1-3_0114
PP7435_Chr1-0118	PAS_chr1-3_0115
PP7435_Chr1-0119	PAS_chr1-3_0116
PP7435_Chr1-0120	PAS_chr1-3_0117
PP7435_Chr1-0121	PAS_chr1-3_0118
PP7435_Chr1-0122	PAS_chr1-3_0119
PP7435_Chr1-0123	PAS_chr1-3_0120
PP7435_Chr1-0124	PAS_chr1-3_0121
PP7435_Chr1-0125	PAS_chr1-3_0122
PP7435_Chr1-0126	PAS_chr1-3_0123
PP7435_Chr1-0127	PAS_chr1-3_0124
PP7435_Chr1-0128	PAS_chr1-3_0125
PP7435_Chr1-0129	PAS_chr1-3_0126
PP7435_Chr1-0130	PAS_chr1-3_0127
PP7435_Chr1-0131	PAS_chr1-3_0128
PP7435_Chr1-0132	PAS_chr1-3_0129
PP7435_Chr1-0133	PAS_chr1-3_0130
PP7435_Chr1-0134	PAS_chr1-3_0131
PP7435_Chr1-0135	PAS_chr1-3_0132
PP7435_Chr1-0136	PAS_chr1-3_0134
PP7435_Chr1-0137	PAS_chr1-3_0135
PP7435_Chr1-0138	PAS_chr1-3_0136
PP7435_Chr1-0139	PAS_chr1-3_0137
PP7435_Chr1-0140	PAS_chr1-3_0138
PP7435_Chr1-0141	PAS_chr1-3_0140
PP7435_Chr1-0142	
PP7435_Chr1-0143	PAS_chr1-3_0141
PP7435_Chr1-0144	PAS_chr1-3_0142
PP7435_Chr1-0145	PAS_chr1-3_0143
PP7435_Chr1-0146	PAS_chr1-3_0300
PP7435_Chr1-0147	PAS_chr1-3_0144
PP7435_Chr1-0148	PAS_chr1-3_0145
PP7435_Chr1-0149	PAS_chr1-3_0146
PP7435_Chr1-0150	PAS_chr1-3_0147
PP7435_Chr1-0151	PAS_chr1-3_0148
PP7435_Chr1-0152	PAS_chr1-3_0149
PP7435_Chr1-0153	PAS_chr1-3_0150
PP7435_Chr1-0154	PAS_chr1-3_0151
PP7435_Chr1-0155	PAS_chr1-3_0152
PP7435_Chr1-0156	PAS_chr1-3_0153
PP7435_Chr1-0157	PAS_chr1-3_0154
PP7435_Chr1-0158	PAS_chr1-3_0155
PP7435_Chr1-0159	PAS_chr1-3_0301
PP7435_Chr1-0160	PAS_chr1-3_0156
PP7435_Chr1-0161	PAS_chr1-3_0157
PP7435_Chr1-0162	PAS_chr1-3_0159
PP7435_Chr1-0163	PAS_chr1-3_0160
PP7435_Chr1-0164	PAS_chr1-3_0161
PP7435_Chr1-0165	PAS_chr1-3_0162
PP7435_Chr1-0166	PAS_chr1-3_0302
PP7435_Chr1-0167	PAS_chr1-3_0163
PP7435_Chr1-0168	PAS_chr1-3_0164
PP7435_Chr1-0169	PAS_chr1-3_0165
PP7435_Chr1-0170	PAS_chr1-3_0166
PP7435_Chr1-0172	PAS_chr1-3_0169
PP7435_Chr1-0173	PAS_chr1-3_0170
PP7435_Chr1-0175	PAS_chr1-3_0173
PP7435_Chr1-0176	PAS_chr1-3_0174
PP7435_Chr1-0177	PAS_chr1-3_0175
PP7435_Chr1-0178	PAS_chr1-3_0177
PP7435_Chr1-0179	PAS_chr1-3_0178
PP7435_Chr1-0180	PAS_chr1-3_0179
PP7435_Chr1-0181	PAS_chr1-3_0180
PP7435_Chr1-0182	PAS_chr1-3_0181
PP7435_Chr1-0183	PAS_chr1-3_0182
PP7435_Chr1-0184	PAS_chr1-3_0183
PP7435_Chr1-0185	PAS_chr1-3_0184
PP7435_Chr1-0186	PAS_chr1-3_0185
PP7435_Chr1-0187	PAS_chr1-3_0186
PP7435_Chr1-0188	PAS_chr1-3_0187
PP7435_Chr1-0189	PAS_chr1-3_0188
PP7435_Chr1-0191	PAS_chr1-3_0191
PP7435_Chr1-0192	PAS_chr1-3_0192
PP7435_Chr1-0193	PAS_chr1-3_0193
PP7435_Chr1-0194	PAS_chr1-3_0304
PP7435_Chr1-0195	PAS_chr1-3_0194
PP7435_Chr1-0196	PAS_chr1-3_0195
PP7435_Chr1-0197	
PP7435_Chr1-0198	
PP7435_Chr1-0199	PAS_chr1-3_0197
PP7435_Chr1-0200	PAS_chr1-3_0198
PP7435_Chr1-0201	PAS_chr1-3_0199
PP7435_Chr1-0202	PAS_chr1-3_0200
PP7435_Chr1-0203	PAS_chr1-3_0201
PP7435_Chr1-0204	PAS_chr1-3_0202
PP7435_Chr1-0205	PAS_chr1-3_0305
PP7435_Chr1-0206	PAS_chr1-3_0203
PP7435_Chr1-0207	PAS_chr1-3_0204
PP7435_Chr1-0208	PAS_chr1-3_0205
PP7435_Chr1-0209	PAS_chr1-3_0206
PP7435_Chr1-0210	PAS_chr1-3_0207
PP7435_Chr1-0211	PAS_chr1-3_0208
PP7435_Chr1-0212	PAS_chr1-3_0209
PP7435_Chr1-0213	
PP7435_Chr1-0214	PAS_chr1-3_0210
PP7435_Chr1-0215	PAS_chr1-3_0211
PP7435_Chr1-0216	PAS_chr1-3_0212
PP7435_Chr1-0217	PAS_chr1-3_0213
PP7435_Chr1-0218	PAS_chr1-3_0215
PP7435_Chr1-0219	PAS_chr1-3_0216
PP7435_Chr1-0220	PAS_chr1-3_0217
PP7435_Chr1-0221	PAS_chr1-3_0218
PP7435_Chr1-0222	PAS_chr1-3_0219
PP7435_Chr1-0223	PAS_chr1-3_0220
PP7435_Chr1-0224	
PP7435_Chr1-0225	PAS_chr1-3_0221
PP7435_Chr1-0226	PAS_chr1-3_0222
PP7435_Chr1-0227	homolog not anymore annotated
PP7435_Chr1-0228	PAS_chr1-3_0225
PP7435_Chr1-0229	PAS_chr1-3_0226
PP7435_Chr1-0230	PAS_chr1-3_0227
PP7435_Chr1-0231	PAS_chr1-3_0228
PP7435_Chr1-0232	PAS_chr1-3_0229
PP7435_Chr1-0234	
PP7435_Chr1-0235	PAS_chr1-3_0230
PP7435_Chr1-0236	PAS_chr1-3_0231
PP7435_Chr1-0237	PAS_chr1-3_0306
PP7435_Chr1-0238	PAS_chr1-3_0232
PP7435_Chr1-0239	PAS_chr1-3_0233
PP7435_Chr1-0240	PAS_chr1-3_0234
PP7435_Chr1-0241	PAS_chr1-3_0235
PP7435_Chr1-0242	PAS_chr1-3_0236
PP7435_Chr1-0243	PAS_chr1-3_0237
PP7435_Chr1-0244	PAS_chr1-3_0238
PP7435_Chr1-0245	PAS_chr1-3_0239
PP7435_Chr1-0246	PAS_chr1-3_0240
PP7435_Chr1-0247	PAS_chr1-3_0241
PP7435_Chr1-0248	PAS_chr1-3_0242
PP7435_Chr1-0249	PAS_chr1-3_0243
PP7435_Chr1-0250	PAS_chr1-3_0244
PP7435_Chr1-0251	PAS_chr1-3_0307
PP7435_Chr1-0252	PAS_chr1-3_0245
PP7435_Chr1-0253	PAS_chr1-3_0246
PP7435_Chr1-0254	PAS_chr1-3_0247
PP7435_Chr1-0255	PAS_chr1-3_0248
PP7435_Chr1-0256	PAS_chr1-3_0249
PP7435_Chr1-0257	PAS_chr1-3_0250
PP7435_Chr1-0258	PAS_chr1-3_0251
PP7435_Chr1-0259	PAS_chr1-3_0252
PP7435_Chr1-0260	PAS_chr1-3_0253
PP7435_Chr1-0261	PAS_chr1-3_0254
PP7435_Chr1-0262	PAS_chr1-3_0255
PP7435_Chr1-0263	PAS_chr1-3_0256
PP7435_Chr1-0264	PAS_chr1-3_0257
PP7435_Chr1-0265	PAS_chr1-3_0258
PP7435_Chr1-0266	PAS_chr1-3_0260
PP7435_Chr1-0267	PAS_chr1-3_0261
PP7435_Chr1-0268	PAS_chr1-3_0262
PP7435_Chr1-0269	PAS_chr1-3_0264
PP7435_Chr1-0270	PAS_chr1-3_0309
PP7435_Chr1-0271	PAS_chr1-3_0265
PP7435_Chr1-0272	PAS_chr1-3_0266
PP7435_Chr1-0273	PAS_chr1-3_0267
PP7435_Chr1-0274	PAS_chr1-3_0268
PP7435_Chr1-0275	PAS_chr1-3_0269
PP7435_Chr1-0276	PAS_chr1-3_0310
PP7435_Chr1-0277	PAS_chr1-3_0271
PP7435_Chr1-0278	PAS_chr1-3_0311
PP7435_Chr1-0279	PAS_chr1-3_0272
PP7435_Chr1-0280	PAS_chr1-3_0273
PP7435_Chr1-0281	PAS_chr1-3_0274
PP7435_Chr1-0282	PAS_chr1-3_0275
PP7435_Chr1-0283	PAS_chr1-3_0276
PP7435_Chr1-0284	PAS_chr1-3_0278
PP7435_Chr1-0285	PAS_chr1-3_0280
PP7435_Chr1-0286	PAS_chr1-3_0281
PP7435_Chr1-0287	PAS_chr1-3_0285
PP7435_Chr1-0288	homolog not anymore annotated
PP7435_Chr1-0289	PAS_chr1-3_0287
PP7435_Chr1-0290	PAS_chr1-3_0288
PP7435_Chr1-0291	PAS_chr1-3_0289
PP7435_Chr1-0292	PAS_chr1-1_0002
PP7435_Chr1-0293	PAS_chr1-1_0003
PP7435_Chr1-0295	PAS_chr1-1_0460
PP7435_Chr1-0296	PAS_chr1-1_0004
PP7435_Chr1-0297	PAS_chr1-1_0005
PP7435_Chr1-0298	PAS_chr1-1_0006
PP7435_Chr1-0299	PAS_chr1-1_0007
PP7435_Chr1-0300	PAS_chr1-1_0008
PP7435_Chr1-0301	PAS_chr1-1_0009
PP7435_Chr1-0302	
PP7435_Chr1-0303	PAS_chr1-1_0010
PP7435_Chr1-0304	PAS_chr1-1_0011
PP7435_Chr1-0305	PAS_chr1-1_0012
PP7435_Chr1-0306	PAS_chr1-1_0013
PP7435_Chr1-0307	PAS_chr1-1_0014
PP7435_Chr1-0308	PAS_chr1-1_0015
PP7435_Chr1-0309	PAS_chr1-1_0016
PP7435_Chr1-0310	PAS_chr1-1_0017
PP7435_Chr1-0311	PAS_chr1-1_0018
PP7435_Chr1-0312	PAS_chr1-1_0019
PP7435_Chr1-0313	PAS_chr1-1_0020
PP7435_Chr1-0314	PAS_chr1-1_0462
PP7435_Chr1-0315	PAS_chr1-1_0021
PP7435_Chr1-0316	PAS_chr1-1_0022
PP7435_Chr1-0317	PAS_chr1-1_0024
PP7435_Chr1-0318	PAS_chr1-1_0025
PP7435_Chr1-0319	PAS_chr1-1_0026
PP7435_Chr1-0320	PAS_chr1-1_0027
PP7435_Chr1-0321	PAS_chr1-1_0028
PP7435_Chr1-0322	homolog not anymore annotated
PP7435_Chr1-0323	PAS_chr1-1_0029
PP7435_Chr1-0324	PAS_chr1-1_0030
PP7435_Chr1-0325	PAS_chr1-1_0464
PP7435_Chr1-0326	PAS_chr1-1_0465
PP7435_Chr1-0327	PAS_chr1-1_0031
PP7435_Chr1-0328	PAS_chr1-1_0466
PP7435_Chr1-0329	PAS_chr1-1_0032
PP7435_Chr1-0330	PAS_chr1-1_0467
PP7435_Chr1-0331	PAS_chr1-1_0033
PP7435_Chr1-0332	PAS_chr1-1_0034
PP7435_Chr1-0333	PAS_chr1-1_0035
PP7435_Chr1-0334	
PP7435_Chr1-0335	PAS_chr1-1_0036
PP7435_Chr1-0336	PAS_chr1-1_0037
PP7435_Chr1-0337	PAS_chr1-1_0038
PP7435_Chr1-0338	PAS_chr1-1_0039
PP7435_Chr1-0339	PAS_chr1-1_0040
PP7435_Chr1-0340	PAS_chr1-1_0041
PP7435_Chr1-0341	PAS_chr1-1_0042
PP7435_Chr1-0342	PAS_chr1-1_0043
PP7435_Chr1-0343	PAS_chr1-1_0044
PP7435_Chr1-0344	PAS_chr1-1_0045
PP7435_Chr1-0345	PAS_chr1-1_0046
PP7435_Chr1-0346	PAS_chr1-1_0047
PP7435_Chr1-0347	PAS_chr1-1_0048
PP7435_Chr1-0348	PAS_chr1-1_0049
PP7435_Chr1-0349	PAS_chr1-1_0050
PP7435_Chr1-0350	PAS_chr1-1_0051
PP7435_Chr1-0351	PAS_chr1-1_0052
PP7435_Chr1-0352	PAS_chr1-1_0053
PP7435_Chr1-0353	PAS_chr1-1_0054
PP7435_Chr1-0354	PAS_chr1-1_0055
PP7435_Chr1-0355	PAS_chr1-1_0056
PP7435_Chr1-0356	PAS_chr1-1_0057
PP7435_Chr1-0357	PAS_chr1-1_0058
PP7435_Chr1-0358	PAS_chr1-1_0059
PP7435_Chr1-0359	PAS_chr1-1_0060
PP7435_Chr1-0360	PAS_chr1-1_0061
PP7435_Chr1-0361	PAS_chr1-1_0062
PP7435_Chr1-0362	PAS_chr1-1_0063
PP7435_Chr1-0363	PAS_chr1-1_0064
PP7435_Chr1-0364	PAS_chr1-1_0468
PP7435_Chr1-0365	
PP7435_Chr1-0366	
PP7435_Chr1-0367	PAS_chr1-1_0065
PP7435_Chr1-0368	PAS_chr1-1_0066
PP7435_Chr1-0369	PAS_chr1-1_0067
PP7435_Chr1-0370	PAS_chr1-1_0068
PP7435_Chr1-0371	PAS_chr1-1_0069
PP7435_Chr1-0373	PAS_chr1-1_0071
PP7435_Chr1-0374	PAS_chr1-1_0072
PP7435_Chr1-0376	PAS_chr1-1_0074
PP7435_Chr1-0377	homolog not anymore annotated
PP7435_Chr1-0378	PAS_chr1-1_0076
PP7435_Chr1-0379	PAS_chr1-1_0077
PP7435_Chr1-0380	PAS_chr1-1_0078
PP7435_Chr1-0381	PAS_chr1-1_0079
PP7435_Chr1-0382	PAS_chr1-1_0080
PP7435_Chr1-0384	PAS_chr1-1_0082
PP7435_Chr1-0385	PAS_chr1-1_0083
PP7435_Chr1-0386	PAS_chr1-1_0084
PP7435_Chr1-0387	PAS_chr1-1_0085
PP7435_Chr1-0388	PAS_chr1-1_0086
PP7435_Chr1-0389	PAS_chr1-1_0087
PP7435_Chr1-0390	PAS_chr1-1_0088
PP7435_Chr1-0391	PAS_chr1-1_0089
PP7435_Chr1-0392	PAS_chr1-1_0090
PP7435_Chr1-0393	PAS_chr1-1_0091
PP7435_Chr1-0394	PAS_chr1-1_0092
PP7435_Chr1-0395	PAS_chr1-1_0093
PP7435_Chr1-0397	PAS_chr1-1_0095
PP7435_Chr1-0398	PAS_chr1-1_0473
PP7435_Chr1-0399	PAS_chr1-1_0096
PP7435_Chr1-0400	PAS_chr1-1_0097
PP7435_Chr1-0401	PAS_chr1-1_0098
PP7435_Chr1-0402	PAS_chr1-1_0099
PP7435_Chr1-0403	PAS_chr1-1_0101
PP7435_Chr1-0404	PAS_chr1-1_0102
PP7435_Chr1-0405	PAS_chr1-1_0103
PP7435_Chr1-0406	PAS_chr1-1_0104
PP7435_Chr1-0407	PAS_chr1-1_0105
PP7435_Chr1-0408	PAS_chr1-1_0106
PP7435_Chr1-0409	PAS_chr1-1_0107
PP7435_Chr1-0410	PAS_chr1-1_0108
PP7435_Chr1-0411	PAS_chr1-1_0109
PP7435_Chr1-0412	PAS_chr1-1_0110
PP7435_Chr1-0413	PAS_chr1-1_0111
PP7435_Chr1-0414	PAS_chr1-1_0112
PP7435_Chr1-0415	PAS_chr1-1_0113
PP7435_Chr1-0416	PAS_chr1-1_0114
PP7435_Chr1-0417	PAS_chr1-1_0116
PP7435_Chr1-0418	PAS_chr1-1_0117
PP7435_Chr1-0419	PAS_chr1-1_0118
PP7435_Chr1-0420	
PP7435_Chr1-0421	PAS_chr1-1_0474
PP7435_Chr1-0422	PAS_chr1-1_0119
PP7435_Chr1-0423	
PP7435_Chr1-0424	PAS_chr1-1_0120
PP7435_Chr1-0425	
PP7435_Chr1-0426	PAS_chr1-1_0475
PP7435_Chr1-0428	PAS_chr1-1_0122
PP7435_Chr1-0429	PAS_chr1-1_0123
PP7435_Chr1-0430	PAS_chr1-1_0124
PP7435_Chr1-0431	homolog not anymore annotated
PP7435_Chr1-0432	PAS_chr1-1_0126
PP7435_Chr1-0433	PAS_chr1-1_0127
PP7435_Chr1-0434	PAS_chr1-1_0476
PP7435_Chr1-0435	PAS_chr1-1_0128
PP7435_Chr1-0436	PAS_chr1-1_0477
PP7435_Chr1-0437	PAS_chr1-1_0129
PP7435_Chr1-0438	PAS_chr1-1_0478
PP7435_Chr1-0439	PAS_chr1-1_0130
PP7435_Chr1-0440	PAS_chr1-1_0131
PP7435_Chr1-0441	no GS115 homolog
PP7435_Chr1-0442	PAS_chr1-1_0132
PP7435_Chr1-0443	PAS_chr1-1_0133
PP7435_Chr1-0444	PAS_chr1-1_0134
PP7435_Chr1-0445	PAS_chr1-1_0135
PP7435_Chr1-0446	PAS_chr1-1_0136
PP7435_Chr1-0447	PAS_chr1-1_0137
PP7435_Chr1-0448	PAS_chr1-1_0138
PP7435_Chr1-0449	PAS_chr1-1_0139
PP7435_Chr1-0450	PAS_chr1-1_0140
PP7435_Chr1-0451	PAS_chr1-1_0141
PP7435_Chr1-0452	
PP7435_Chr1-0453	PAS_chr1-1_0142
PP7435_Chr1-0454	PAS_chr1-1_0143
PP7435_Chr1-0455	PAS_chr1-1_0145
PP7435_Chr1-0456	PAS_chr1-1_0146
PP7435_Chr1-0457	PAS_chr1-1_0147
PP7435_Chr1-0458	PAS_chr1-1_0148
PP7435_Chr1-0459	PAS_chr1-1_0149
PP7435_Chr1-0460	PAS_chr1-1_0150
PP7435_Chr1-0461	PAS_chr1-1_0151
PP7435_Chr1-0462	PAS_chr1-1_0152
PP7435_Chr1-0463	PAS_chr1-1_0153
PP7435_Chr1-0464	PAS_chr1-1_0154
PP7435_Chr1-0465	PAS_chr1-1_0155
PP7435_Chr1-0466	PAS_chr1-1_0156
PP7435_Chr1-0467	PAS_chr1-1_0157
PP7435_Chr1-0468	PAS_chr1-1_0158
PP7435_Chr1-0470	PAS_chr1-1_0160
PP7435_Chr1-0471	PAS_chr1-1_0161
PP7435_Chr1-0472	PAS_chr1-1_0162
PP7435_Chr1-0473	PAS_chr1-1_0163
PP7435_Chr1-0474	PAS_chr1-1_0164
PP7435_Chr1-0475	PAS_chr1-1_0165
PP7435_Chr1-0476	PAS_chr1-1_0166
PP7435_Chr1-0477	PAS_chr1-1_0167
PP7435_Chr1-0478	PAS_chr1-1_0168
PP7435_Chr1-0479	PAS_chr1-1_0169
PP7435_Chr1-0480	PAS_chr1-1_0170
PP7435_Chr1-0481	PAS_chr1-1_0171
PP7435_Chr1-0482	PAS_chr1-1_0172
PP7435_Chr1-0483	PAS_chr1-1_0173
PP7435_Chr1-0484	PAS_chr1-1_0174
PP7435_Chr1-0485	PAS_chr1-1_0175
PP7435_Chr1-0486	PAS_chr1-1_0176
PP7435_Chr1-0488	PAS_chr1-1_0179
PP7435_Chr1-0489	PAS_chr1-1_0180
PP7435_Chr1-0490	PAS_chr1-1_0181
PP7435_Chr1-0491	PAS_chr1-1_0182
PP7435_Chr1-0492	PAS_chr1-1_0183
PP7435_Chr1-0493	PAS_chr1-1_0480
PP7435_Chr1-0494	PAS_chr1-1_0184
PP7435_Chr1-0495	PAS_chr1-1_0185
PP7435_Chr1-0496	PAS_chr1-1_0186
PP7435_Chr1-0497	PAS_chr1-1_0481
PP7435_Chr1-0498	PAS_chr1-1_0187
PP7435_Chr1-0499	PAS_chr1-1_0189
PP7435_Chr1-0500	PAS_chr1-1_0190
PP7435_Chr1-0501	PAS_chr1-1_0191
PP7435_Chr1-0502	PAS_chr1-1_0192
PP7435_Chr1-0503	PAS_chr1-1_0193
PP7435_Chr1-0504	PAS_chr1-1_0194
PP7435_Chr1-0505	PAS_chr1-1_0195
PP7435_Chr1-0506	PAS_chr1-1_0196
PP7435_Chr1-0507	PAS_chr1-1_0197
PP7435_Chr1-0508	PAS_chr1-1_0198
PP7435_Chr1-0509	PAS_chr1-1_0199
PP7435_Chr1-0510	PAS_chr1-1_0482
PP7435_Chr1-0511	PAS_chr1-1_0200
PP7435_Chr1-0512	PAS_chr1-1_0201
PP7435_Chr1-0513	PAS_chr1-1_0483
PP7435_Chr1-0514	PAS_chr1-1_0202
PP7435_Chr1-0515	PAS_chr1-1_0203
PP7435_Chr1-0516	PAS_chr1-1_0204
PP7435_Chr1-0517	PAS_chr1-1_0205
PP7435_Chr1-0518	PAS_chr1-1_0206
PP7435_Chr1-0519	PAS_chr1-1_0207
PP7435_Chr1-0520	PAS_chr1-1_0484
PP7435_Chr1-0521	
PP7435_Chr1-0522	PAS_chr1-1_0209
PP7435_Chr1-0523	
PP7435_Chr1-0524	PAS_chr1-1_0210
PP7435_Chr1-0525	PAS_chr1-1_0211
PP7435_Chr1-0526	PAS_chr1-1_0212
PP7435_Chr1-0527	PAS_chr1-1_0213
PP7435_Chr1-0528	PAS_chr1-1_0214
PP7435_Chr1-0529	PAS_chr1-1_0485
PP7435_Chr1-0530	PAS_chr1-1_0215
PP7435_Chr1-0531	PAS_chr1-1_0216
PP7435_Chr1-0532	PAS_chr1-1_0217
PP7435_Chr1-0533	PAS_chr1-1_0218
PP7435_Chr1-0534	PAS_chr1-1_0219
PP7435_Chr1-0535	PAS_chr1-1_0220
PP7435_Chr1-0536	PAS_chr1-1_0221
PP7435_Chr1-0537	PAS_chr1-1_0223
PP7435_Chr1-0538	PAS_chr1-1_0224
PP7435_Chr1-0539	PAS_chr1-1_0225
PP7435_Chr1-0540	PAS_chr1-1_0226
PP7435_Chr1-0541	PAS_chr1-1_0227
PP7435_Chr1-0542	PAS_chr1-1_0228
PP7435_Chr1-0543	PAS_chr1-1_0230
PP7435_Chr1-0544	PAS_chr1-1_0231
PP7435_Chr1-0545	PAS_chr1-1_0232
PP7435_Chr1-0546	PAS_chr1-1_0233
PP7435_Chr1-0547	PAS_chr1-1_0234
PP7435_Chr1-0548	PAS_chr1-1_0235
PP7435_Chr1-0549	PAS_chr1-1_0236
PP7435_Chr1-0550	PAS_chr1-1_0237
PP7435_Chr1-0551	PAS_chr1-1_0238
PP7435_Chr1-0553	PAS_chr1-1_0241
PP7435_Chr1-0554	PAS_chr1-1_0242
PP7435_Chr1-0555	PAS_chr1-1_0243
PP7435_Chr1-0556	PAS_chr1-1_0244
PP7435_Chr1-0557	PAS_chr1-1_0245
PP7435_Chr1-0558	PAS_chr1-1_0246
PP7435_Chr1-0559	PAS_chr1-1_0247
PP7435_Chr1-0560	PAS_chr1-1_0248
PP7435_Chr1-0561	PAS_chr1-1_0249
PP7435_Chr1-0562	PAS_chr1-1_0250
